,면적,경도,위도
0,2896887.0,126.9903773,37.5501402
1,80683.0,127.1547791,37.5403935
2,9132690.0,127.0198465,37.4264494
3,480994.0,127.0417982,37.5430717
4,2284085.0,126.878907,37.571805
5,89481.0,126.9780227,37.5750449
7,6456.0,126.9112668,37.519832
8,80309.0,127.0217653,37.5572281
9,19804.0,126.86115,37.5575833
10,51977.0,127.0524023,37.5448144
11,11467.0,127.1471618,37.5504807
12,229539.0,126.922377,37.526129
13,151797.0,127.0488644,37.5732438
14,1673460.0,127.0038188,37.5675245
15,61544.0,126.910662,37.515423
16,424106.0,126.918289,37.492333
17,560552.0,127.0809212,37.5498987
18,266968.0,127.1263451,37.5444741
19,75900.0,126.983335,37.522226
20,11302172.0,126.956771,37.5738289
21,201779.0,127.007587,37.580477
22,258991.0,127.035042,37.471225
23,1042081908.0,126.96413,37.445208
24,1712941.0,126.95993,37.545234
25,15000.0,126.9079509,37.469625
26,297926.0,127.0252858,37.5965837
27,411972.0,126.8485734,37.4888943
28,98470.0,126.9685341,37.570773
29,20387413.0,126.9736849,37.4998621
30,6037152.0,126.8479643,37.5138358
31,108120.0,126.8521495,37.5042944
32,296193.0,126.8763932,37.5349739
33,298438.0,126.8526745,37.5679874
34,126026.0,126.9229851,37.5690506
35,1350027.0,126.838952,37.5735645
36,384026.0,126.9640735,37.4845836
37,180000.0,126.8157075,37.5801585
38,416031.0,126.928607,37.510234
39,160720.0,127.0626512,37.5750896
40,2277252.0,127.0809639,37.4796489
41,1959970.0,126.9882853,37.5710052
42,138596.0,126.8689146,37.5082119
43,185295.0,127.1586644,37.5005173
44,254648.0,127.0450338,37.4903127
45,298165.0,127.0350296,37.5246752
46,762642.0,127.0511145,37.6020055
47,664905.0,127.0455446,37.648316
48,995999.0,127.1676703,37.5598341
49,5802.0,127.0027886,37.5802295
50,16500.0,126.9302895,37.5177329
51,585652.0,127.1387,37.4957083
52,6497096.0,127.1613641,37.5537143
53,72132.0,126.8132285,37.5819812
54,660278.0,127.0762885,37.5102779
55,265582.0,127.0641623,37.5812324
56,20887049.0,126.9390273,37.5798246
57,112070.0,126.8689817,37.5579702
58,993724.0,126.928616,37.5879662
59,219167.0,127.1323957,37.5038715
60,13495564.0,127.0317269,37.6327957
61,1511198.0,126.9020153,37.604071
62,1097565.0,126.83695,37.5002598
63,328018.0,127.0554961,37.5139026
64,1447122.0,127.122959,37.520934
65,207790.0,126.9901672,37.5907944
66,1018689.0,127.0923625,37.6106404
67,954553.0,126.9737295,37.5929992
68,1667848.0,127.000938,37.624549
69,13224.0,126.911414,37.546797
70,130345.0,126.9298962,37.6188016
71,5332422.0,127.0952714,37.6636719
72,5107964.0,127.0905888,37.5731968
73,47832.0,126.948636,37.5137049
74,213552.0,126.8783125,37.5429593
75,16809987.0,126.9674018,37.5759864
76,3594352.0,126.844932,37.5541932
77,36660.0,126.9743686,37.4860183
78,380735.0,126.9842875,37.5895821
79,18074209.0,126.9578438,37.5849001
80,3593428.0,126.9385469,37.492299
81,632733.0,127.1574587,37.5431657
82,328018.0,127.0271316,37.6531456
83,66918853.0,127.0813633,37.699232
84,285757.0,127.0983002,37.5069328
85,110407.0,126.90014,37.543418
86,296822.0,126.9652702,37.5560189
87,137759.0,127.0078625,37.5948509
88,917190.0,126.8517836,37.5421979
89,51470.0,127.047938,37.689585
90,662543.0,127.0407344,37.6233355
91,217946.0,126.8304789,37.5278392
92,179666.0,127.1093075,37.6049896
93,34955.0,127.0116241,37.652331
94,18083.0,126.908681,37.468164
95,4835.0,126.9040127,37.4468663
96,19650.0,126.9090028,37.4734274
97,7000.0,127.031982,37.6597135
98,10712.0,127.0509895,37.6473889
99,17182.0,127.0390042,37.5732791
100,1603493.0,126.8859012,37.5760106
101,874324.0,126.9289936,37.5517298
102,13467.0,127.0189457,37.5494726
103,46871.0,127.0212054,37.543564
104,49972.0,127.1275819,37.4862156
105,74385.0,127.030517,37.467654
106,8868.0,126.9758875,37.5735
107,10634.0,126.938511,37.4642128
108,22113.0,127.0405382,37.6479483
110,1082847.0,126.9134338,37.6374823
111,3692455.0,127.0424726,37.4224347
112,386500.0,126.8068278,37.5813917
113,23450.0,127.1010031,37.5517142
114,2400833.0,127.0666632,37.4482109
115,2752421.0,127.061567,37.4689473
116,4180551.0,127.0091324,37.470484
117,147859.0,126.9240693,37.6293824
118,111650.0,126.9102948,37.5920771
120,519782.0,127.092184,37.4880445
121,59347.0,127.052453,37.5213259
122,25500.0,127.1533951,37.5372715
123,2560.0,126.9207354,37.619052
124,32000.0,127.113261,37.6054218
125,45615.0,127.0178267,37.5764419
126,631021.0,127.0987817,37.5877155
127,109635.0,127.095997,37.5797622
128,140022.0,126.8932455,37.57171848
129,211392.0,127.076482,37.627077
130,157535.0,127.115594,37.472332
