,latitude,longitude
0,37.4933842,126.9435729
1,37.4851695,126.8749706
2,37.5361803,127.1478949
3,37.5425325,126.8811364
4,37.3704931,126.9395808
5,37.485273,127.065984
6,37.635291,127.0682624
7,37.5005796,126.8556554
8,37.5417729,126.8502912
9,37.6496372,127.0616198
10,37.5400282,126.8515067
11,37.6259395,127.0253864
12,37.5531204,126.8367014
13,37.5351598,127.1123715
14,37.4796364,126.8150763
15,37.5788332,126.8194426
16,37.6375906,127.0249677
17,37.618945,126.9325975
18,37.579183,126.996566
19,37.5248148,127.1098601
20,37.4974414,126.855917
21,37.6455815,127.0505136
22,37.6374815,127.0253881
23,37.6107435,126.9396027
24,37.5290767,126.9658972
25,37.4655416,126.926806
26,37.341878,127.105764
27,37.5897445,126.9536412
28,37.6156282,127.1054535
29,37.5404236,127.136664
30,37.619031,127.045768
31,37.4861491,126.8916518
32,37.631042,127.0830204
33,37.5271714,127.1284608
34,37.5732822,126.8233293
35,37.4189867,126.9886197
36,37.7295516,126.7482093
37,37.5361735,126.863622
38,37.4983606,126.8985174
39,37.4952967,126.9889993
40,37.4562835,127.0623888
41,37.550787,126.912592
42,37.4903263,127.1276151
43,37.5334335,127.1111514
44,37.475399,126.916574
45,37.484231,127.058605
46,37.5921676,127.0935437
47,37.4810835,126.8216009
48,37.5666307,126.9134886
49,37.6294532,127.0401242
50,37.5494256,127.012283
51,37.489971,126.9649635
52,37.622167,127.0883648
53,37.4324757,127.168649
54,37.4580654,126.8725663
55,37.5654194,127.0867703
56,37.4758229,126.9036414
57,37.4592071,126.8743435
58,37.614744,127.0371417
59,37.5657955,127.0771769
60,37.4937462,126.9935356
61,37.6182434,127.0252762
62,37.4361706,126.8872891
63,37.496634,126.987806
64,37.5384461,127.0748753
65,37.381066,127.1170539
66,37.6009474,127.1006376
67,37.555152,126.811943
68,37.6392513,127.1215893
69,37.5208476,126.9785496
70,37.5093091,127.0080753
71,37.6731864,127.0468555
72,37.5432315,126.9877949
73,37.6093643,127.0781824
74,37.636659,127.0241165
75,37.6308651,126.9191891
76,37.4631743,127.0891175
77,37.4689447,127.1078609
78,37.5377026,127.0879772
79,37.4740756,126.8517864
80,37.4848328,126.9801874
81,37.5502386,127.1462409
82,37.4219768,126.9066405
83,37.6179801,127.0154491
84,37.6366673,127.0676631
85,37.6328816,126.8307299
86,37.5995439,127.032945
87,37.5689958,127.051487
88,37.4500399,126.9134908
89,37.6066987,126.9587564
90,37.5213296,126.9119175
91,37.4509918,126.9079435
92,37.5615328,127.0752029
93,37.4823672,126.9186188
94,37.5049657,126.8612662
95,37.59763,127.0056794
96,37.5946512,127.0563425
97,37.5568807,126.9510339
98,37.455364,126.9498964
99,37.5482189,127.0196278
100,37.6142812,127.0813105
101,37.5002341,127.1044857
102,37.5031885,126.9766525
103,37.5063056,126.9506417
104,37.4851062,126.9903543
105,37.526956,126.927025
106,37.5034539,126.9451749
107,37.6435455,127.0762499
108,37.5482942,127.0166253
109,37.5470553,126.9471495
110,37.4662408,127.0443893
111,37.48531,126.886453
112,37.555315,127.0248124
113,37.371245,126.9345024
114,37.6121384,126.9064516
115,37.5285596,127.125423
116,37.5418504,126.8691975
117,37.7028985,127.0478242
118,37.518932,126.7856784
119,37.5327703,126.9639636
120,37.4942635,127.0296699
121,37.5302363,126.8162398
122,37.6607048,127.0718186
123,37.5494106,126.8675998
124,37.4786269,126.9401212
125,37.6416756,127.1280894
126,37.5357712,126.9479213
127,37.5852299,126.9446994
128,37.6811957,126.7872314
129,37.5540499,126.9457581
130,37.4747384,127.0330913
131,37.4705887,127.0300031
132,37.521318,126.904785
133,37.5379586,126.8820591
134,37.5662122,126.9768355
135,37.5343495,127.1448351
136,37.5837816,126.9108818
137,37.499937,127.15151
138,37.5010548,126.9049278
139,37.5583189,127.0879297
140,37.5056424,126.8576518
141,37.5622544,127.0243472
142,37.3532868,126.9709391
143,37.5844887,127.0199894
144,37.6052005,127.0388917
145,37.7008024,126.9701443
146,37.5235573,127.0443044
147,37.6213509,127.0719541
148,37.5019399,126.8644523
149,37.5349118,127.0692877
150,37.7346919,127.0480765
151,37.5938844,127.0726966
152,37.7299023,127.084451
153,37.644643,127.083058
154,37.3730085,127.1274631
155,37.4844754,126.9373129
156,37.547017,127.0128701
157,37.4944763,127.0295867
158,37.6777532,127.0361868
159,37.6121203,126.9171988
160,37.5514084,126.8253974
161,37.5021979,127.056351
162,37.5336487,126.8539521
163,37.6490369,126.8843588
164,37.5502177,126.9153071
165,37.63528,127.071537
166,37.5637398,127.1331839
167,37.4999828,127.1230724
168,37.4379594,126.9027904
169,37.6448011,126.9177155
170,37.5645028,127.0242404
171,37.4898288,126.8757443
172,37.4702973,127.1372041
173,37.447763,127.1579118
174,37.5370356,127.1145582
175,37.6878252,127.1330909
176,37.5494427,126.9314325
177,37.4689156,126.9022258
178,37.4672144,126.9079179
179,37.6680215,126.8888548
180,37.6231743,127.0320253
181,37.7890837,126.8452307
182,37.4719206,127.0507511
183,37.5316967,126.8308304
184,37.4904638,127.1435753
185,37.5381983,126.9553881
186,37.5708653,126.9131669
187,37.4742097,126.9384475
188,37.5153474,127.0298909
189,37.5878519,126.9725135
190,37.5697591,127.0733886
191,37.53287,126.8838504
192,37.4971454,127.1288572
193,37.5263988,127.1184114
194,37.53583,126.9549471
195,37.5764739,126.8932804
196,37.5254434,126.9075692
197,37.4868758,127.0411576
198,37.6423669,127.0218894
199,37.5945213,127.0653057
200,37.5163749,126.7848709
201,37.5405731,127.2181524
202,37.4996202,127.1181395
203,37.4748334,126.9404392
204,37.5696876,126.9766885
205,37.6432608,127.0623624
206,37.5654113,127.0091092
207,37.4818218,126.9664294
208,37.4827315,127.1389686
209,37.6352513,127.0668075
210,37.4820085,126.9432468
211,37.6264228,127.0794884
212,37.4926576,126.7478059
213,37.5794373,126.8920591
214,37.579913,126.9243947
215,37.626024,127.0466752
216,37.6586933,127.0276882
217,37.5014215,126.916843
218,37.7350597,127.0771563
219,37.5589634,126.8456364
220,37.3582584,127.1189297
221,37.5083022,126.9260562
222,37.6512012,127.0331242
223,37.5043671,126.9459908
224,37.5887567,127.1380916
225,37.6459816,127.0348523
226,37.5658939,126.919051
227,37.4896367,127.0192223
228,37.587793,127.0944316
229,37.4949396,127.1320189
230,37.731134,126.9777722
231,37.5935865,127.075097
232,37.6942748,126.7664869
233,37.646323,127.007842
234,37.5601326,126.9389236
235,37.594427,127.09505
236,37.5966491,126.9083083
237,37.4586377,126.8813189
238,37.5007747,126.8620826
239,37.4723436,126.867954
240,37.4834494,126.9961463
241,37.6457425,126.7843323
242,37.5624496,127.0332625
243,37.8316442,126.8246454
244,37.6270767,127.0357113
245,37.5403665,126.9559492
246,37.6342732,127.0170113
247,37.6578247,127.0399173
248,37.6985836,126.7656487
249,37.5891702,126.9181724
250,37.4642155,126.9258566
251,37.4762191,126.9302023
252,37.5454063,127.0538498
253,37.6281501,127.0540294
