,apt,road,new_apt,new_road,latitude,longitude,company,home_cnt,home_size,room_cnt,bath_cnt
196,사슴1,월계로 372,None,None,0,0,None,0,0,0,0
197,청백(774),초안산로 89,None,None,0,0,None,0,0,0,0
198,학여울청구117동(355),동일로207길 186,None,None,0,0,None,0,0,0,0
199,하이브빌2,도봉로110나길 9,None,None,0,0,None,0,0,0,0
200,우정B(344-6),장한로26나길 10,None,None,0,0,None,0,0,0,0
201,정암(363-11),장한로26가길 106,None,None,0,0,None,0,0,0,0
202,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,61.3,2,1
203,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,61.05,2,1
204,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,64.21,2,1
205,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,64.87,2,1
206,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,71.38,3,1
207,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,84.96,3,2
208,한마음,장한로23길 11-9,국제한마음타운,호계본동로 38,35.264285,128.521747,국제토건(주),493,91.74,3,2
209,CNHHome,전농로 217-15,None,None,0,0,None,0,0,0,0
210,와이시티휘경,한천로 235,None,None,0,0,None,0,0,0,0
211,필하우스(OH빌딩),장승배기로28길 19,None,None,0,0,None,0,0,0,0
212,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,41.25,2,1
213,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,47.85,2,1
214,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,63.57,2,1
215,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,64.49,3,1
216,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,82.89,3,2
217,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,84.15,3,2
218,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,41.25,2,1
219,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,47.85,2,1
220,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,63.57,2,1
221,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,64.49,3,1
222,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,82.89,3,2
223,해맑은,남부순환로255나길 18,해맑은,남부순환로255나길 18,37.477558,126.972327,서해종합건설(주),10,84.15,3,2
224,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,12.1,1,1
225,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,13.18,1,1
226,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,13.87,1,1
227,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,13.98,1,1
228,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,14.48,1,1
229,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,14.92,1,1
230,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,19.87,1,1
231,상도현진에버빌,상도로41다길 23,상도현진에버빌(도시형),상도로41다길 23,37.503057,126.951235,(주)현진,76,31.26,1,1
232,강남아파트,상도로 357,None,None,0,0,None,0,0,0,0
233,현대빌라,효창원로95길 35,현대(43-1),선릉로132길 42,37.518399,127.044605,-,19,148.77,4,2
234,현대빌라,효창원로95길 35,현대(43-1),선릉로132길 42,37.518399,127.044605,-,19,117.93,4,2
235,현대빌라,효창원로95길 35,현대(43-1),선릉로132길 42,37.518399,127.044605,-,19,145.05,4,2
236,현대빌라,효창원로95길 35,현대(43-1),선릉로132길 42,37.518399,127.044605,-,19,145.1,4,2
237,사제강빌,토정로11길 47-1,None,None,0,0,None,0,0,0,0
238,상암월드컵파크1단지,월드컵북로47길 8,상암월드컵파크11단지,월드컵북로 502-37,37.587695,126.881261,한신공영(주),588,84.89,3,2
239,상암월드컵파크1단지,월드컵북로47길 8,상암월드컵파크11단지,월드컵북로 502-37,37.587695,126.881261,한신공영(주),588,84.66,3,2
240,상암월드컵파크8단지,월드컵로42길 12,None,None,0,0,None,0,0,0,0
241,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,30.01,1,1
242,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,30.12,1,1
243,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,31.72,1,1
244,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,32.61,1,1
245,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,32.89,1,1
246,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,33.96,1,1
247,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,33.93,1,1
248,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,33.52,1,1
249,노블에비뉴,월드컵로30길 12,노블에비뉴(도시형),월드컵로30길 12,37.56126,126.906365,우성산업개발 (주),70,43.66,1,1
250,신공덕2차삼성래미안(208동),만리재로 74,None,None,0,0,None,0,0,0,0
251,돈의문센트레빌(215),독립문로14길 33,None,None,0,0,None,0,0,0,0
252,덕운포레스트힐,증가로 54,None,None,0,0,None,0,0,0,0
253,독립문극동(201-0),성산로 695,None,None,0,0,None,0,0,0,0
254,유진맨션,홍은중앙로 13,유진맨션,모라로 40,35.190443,128.986208,-,90,59.94,3,1
255,유진맨션,홍은중앙로 13,유진맨션,모라로 40,35.190443,128.986208,-,90,61.56,3,1
256,유진맨션,홍은중앙로 13,유진맨션,모라로 40,35.190443,128.986208,-,90,62.64,3,1
257,유진맨션,홍은중앙로 13,유진맨션,모라로 40,35.190443,128.986208,-,90,64.62,3,1
258,홍제원현대(459-1),통일로34길 43,None,None,0,0,None,0,0,0,0
259,SUITEHILL,사임당로8길 29,None,None,0,0,None,0,0,0,0
260,양재리본타워,남부순환로347길 21-16,None,None,0,0,None,0,0,0,0
261,양재리본타워2단지,바우뫼로18길 20,None,None,0,0,None,0,0,0,0
262,서초네이처힐5단지,매헌로16길 40,None,None,0,0,None,0,0,0,0
263,엘에이치서초3단지,태봉로2길 5,None,None,0,0,None,0,0,0,0
264,엘에이치서초5단지,양재대로2길 34,None,None,0,0,None,0,0,0,0
265,세인트빌(49-31),양재대로2길 11,None,None,0,0,None,0,0,0,0
266,마장에스에이치빌,왕십리로24가길 5,None,None,0,0,None,0,0,0,0
267,홀스케슬,마조로15가길 23,None,None,0,0,None,0,0,0,0
268,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,19.7,1,1
269,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,19.99,1,1
270,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,19.75,1,1
271,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,19.99,1,1
272,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,20.6,1,1
273,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,20.37,1,1
